,revenu,answer,count,total,value
0,Je préfère ne pas répondre,Non pas complètement,3831,8940,0.428523489933
1,Je préfère ne pas répondre,Non pas du tout,3819,8940,0.427181208054
2,Je préfère ne pas répondre,Oui complètement,238,8940,0.0266219239374
3,Je préfère ne pas répondre,Oui plutôt,1052,8940,0.117673378076
4,Jusqu'à 9 700 euros,Non pas complètement,2054,5274,0.389457717103
5,Jusqu'à 9 700 euros,Non pas du tout,2569,5274,0.487106560485
6,Jusqu'à 9 700 euros,Oui complètement,173,5274,0.0328024270004
7,Jusqu'à 9 700 euros,Oui plutôt,478,5274,0.0906332954115
8,au-delà de 152 108 euros,Non pas complètement,75,195,0.384615384615
9,au-delà de 152 108 euros,Non pas du tout,81,195,0.415384615385
10,au-delà de 152 108 euros,Oui complètement,7,195,0.0358974358974
11,au-delà de 152 108 euros,Oui plutôt,32,195,0.164102564103
12,de 26 791 à 71 826 euros,Non pas complètement,5284,12378,0.426886411375
13,de 26 791 à 71 826 euros,Non pas du tout,5745,12378,0.464129907901
14,de 26 791 à 71 826 euros,Oui complètement,215,12378,0.0173695265794
15,de 26 791 à 71 826 euros,Oui plutôt,1134,12378,0.0916141541444
16,de 71 826 à 152 108 euros,Non pas complètement,661,1413,0.4677990092
17,de 71 826 à 152 108 euros,Non pas du tout,545,1413,0.385704175513
18,de 71 826 à 152 108 euros,Oui complètement,20,1413,0.0141542816702
19,de 71 826 à 152 108 euros,Oui plutôt,187,1413,0.132342533616
20,de 9 700 à 26 791 euros,Non pas complètement,5646,14759,0.38254624297
21,de 9 700 à 26 791 euros,Non pas du tout,7483,14759,0.507012670235
22,de 9 700 à 26 791 euros,Oui complètement,331,14759,0.0224269936988
23,de 9 700 à 26 791 euros,Oui plutôt,1299,14759,0.0880140930957
