,profession,answer,count,total,value
0,Agriculteurs exploitants,Consulter les citoyens pour construire son programme,197,308,0.63961038961
1,Agriculteurs exploitants,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,111,308,0.36038961039
2,"Artisans, commerçants et chefs d’entreprise",Consulter les citoyens pour construire son programme,1834,2670,0.686891385768
3,"Artisans, commerçants et chefs d’entreprise",Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,836,2670,0.313108614232
4,Autre,Consulter les citoyens pour construire son programme,6285,8950,0.702234636872
5,Autre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2665,8950,0.297765363128
6,Cadres et professions intellectuelles supérieures,Consulter les citoyens pour construire son programme,6232,10170,0.612782694199
7,Cadres et professions intellectuelles supérieures,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,3938,10170,0.387217305801
8,Employés,Consulter les citoyens pour construire son programme,5502,6931,0.7938248449
9,Employés,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1429,6931,0.2061751551
10,Etudiant,Consulter les citoyens pour construire son programme,2515,3489,0.720836916022
11,Etudiant,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,974,3489,0.279163083978
12,Je préfère ne pas répondre,Consulter les citoyens pour construire son programme,1444,1906,0.757607555089
13,Je préfère ne pas répondre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,462,1906,0.242392444911
14,Lycéen,Consulter les citoyens pour construire son programme,717,961,0.746097814776
15,Lycéen,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,244,961,0.253902185224
16,Ouvriers,Consulter les citoyens pour construire son programme,983,1215,0.809053497942
17,Ouvriers,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,232,1215,0.190946502058
18,Professions Intermédiaires,Consulter les citoyens pour construire son programme,2625,3674,0.714480130648
19,Professions Intermédiaires,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1049,3674,0.285519869352
20,Sans emploi,Consulter les citoyens pour construire son programme,2143,2685,0.798137802607
21,Sans emploi,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,542,2685,0.201862197393
