,sexe,answer,count,total,value
115,Je préfère ne pas répondre,ALTRUISTE,9,906,0.009933774834437087
116,Je préfère ne pas répondre,COURAGEUX,9,906,0.009933774834437087
117,Je préfère ne pas répondre,FIABLE,8,906,0.008830022075055188
118,Je préfère ne pas répondre,VRAI,7,906,0.00772626931567329
119,Je préfère ne pas répondre,INTÉGRITÉ,6,906,0.006622516556291391
120,Je préfère ne pas répondre,OBAMA,6,906,0.006622516556291391
121,Je préfère ne pas répondre,RESPONSABLE,6,906,0.006622516556291391
122,Je préfère ne pas répondre,PROBITÉ,6,906,0.006622516556291391
123,Je préfère ne pas répondre,INTELLIGENT,6,906,0.006622516556291391
124,Je préfère ne pas répondre,CONCRET,5,906,0.005518763796909493
125,Je préfère ne pas répondre,RASSEMBLEUR,5,906,0.005518763796909493
126,Je préfère ne pas répondre,LE PEN,5,906,0.005518763796909493
127,Je préfère ne pas répondre,OUVERT,5,906,0.005518763796909493
128,Je préfère ne pas répondre,RESPECT,5,906,0.005518763796909493
129,Je préfère ne pas répondre,TRANSPARENT,5,906,0.005518763796909493
130,Je préfère ne pas répondre,PATRIOTE,4,906,0.004415011037527594
131,Je préfère ne pas répondre,HUMBLE,4,906,0.004415011037527594
132,Je préfère ne pas répondre,EMPATHIQUE,4,906,0.004415011037527594
133,Je préfère ne pas répondre,CITOYEN,4,906,0.004415011037527594
134,Je préfère ne pas répondre,FRANC,4,906,0.004415011037527594
135,Je préfère ne pas répondre,RÉVOLUTIONNAIRE,4,906,0.004415011037527594
136,Je préfère ne pas répondre,UNE FEMME,4,906,0.004415011037527594
137,Je préfère ne pas répondre,COURAGE,4,906,0.004415011037527594
138,Je préfère ne pas répondre,SARKOZY,4,906,0.004415011037527594
139,Je préfère ne pas répondre,PEUPLE,4,906,0.004415011037527594
140,Je préfère ne pas répondre,SINCÉRITÉ,3,906,0.0033112582781456954
141,Je préfère ne pas répondre,DROIT,3,906,0.0033112582781456954
142,Je préfère ne pas répondre,IMPOSSIBLE,3,906,0.0033112582781456954
143,Je préfère ne pas répondre,CONCERNÉ,3,906,0.0033112582781456954
144,Je préfère ne pas répondre,EXEMPLAIRE,3,906,0.0033112582781456954
145,Je préfère ne pas répondre,DROITURE,3,906,0.0033112582781456954
146,Je préfère ne pas répondre,ÉQUITABLE,3,906,0.0033112582781456954
147,Je préfère ne pas répondre,DÉSINTÉRESSÉ,3,906,0.0033112582781456954
148,Je préfère ne pas répondre,MÉLENCHON,3,906,0.0033112582781456954
149,Je préfère ne pas répondre,LOYAL,3,906,0.0033112582781456954
150,Autre,HONNÊTE,22,123,0.17886178861788618
151,Autre,INTÈGRE,10,123,0.08130081300813008
152,Autre,SINCÈRE,3,123,0.024390243902439025
153,Autre,COMPÉTENT,2,123,0.016260162601626018
154,Autre,COURAGEUX,2,123,0.016260162601626018
155,Autre,EFFICACE,2,123,0.016260162601626018
156,Autre,SAGE,2,123,0.016260162601626018
157,Autre,NOUVEAU,2,123,0.016260162601626018
158,Autre,FRANC,2,123,0.016260162601626018
159,Autre,HONNÊTETÉ,2,123,0.016260162601626018
160,Autre,HUMAIN,2,123,0.016260162601626018
161,Autre,JUSTE,2,123,0.016260162601626018
162,Autre,COMPÉTENCE,2,123,0.016260162601626018
163,Autre,VISIONNAIRE,2,123,0.016260162601626018
164,Autre,DROITURE,1,123,0.008130081300813009
165,Autre,CRÉACTIF,1,123,0.008130081300813009
166,Autre,DÉTERMINÉ,1,123,0.008130081300813009
167,Autre,LIBÉRAL,1,123,0.008130081300813009
168,Autre,MENDÈS-FRANCE,1,123,0.008130081300813009
169,Autre,UN SAGE,1,123,0.008130081300813009
170,Autre,MONSIEUR POISON,1,123,0.008130081300813009
171,Autre,MÉLENCHON,1,123,0.008130081300813009
172,Autre,CONCERNÉ,1,123,0.008130081300813009
173,Autre,MORAL,1,123,0.008130081300813009
174,Autre,ACTIF ET FRANC,1,123,0.008130081300813009
175,Autre,CONSCIENT,1,123,0.008130081300813009
176,Autre,CLAIRVOYANT,1,123,0.008130081300813009
177,Autre,CULTIVÉ,1,123,0.008130081300813009
178,Autre,ANARCHISTE,1,123,0.008130081300813009
179,Autre,VACI! MACRON!!,1,123,0.008130081300813009
180,Autre,CINGLANT,1,123,0.008130081300813009
181,Autre,INTEGRE HONNETE,1,123,0.008130081300813009
182,Autre,DÉCIDÉ,1,123,0.008130081300813009
183,Autre,ÉQUITABLE,1,123,0.008130081300813009
184,Autre,JEUNE,1,123,0.008130081300813009
185,Autre,MACRON,1,123,0.008130081300813009
186,Autre,CITOYEN,1,123,0.008130081300813009
187,Autre,PATRIOTE,1,123,0.008130081300813009
188,Autre,UNE FEMME,1,123,0.008130081300813009
189,Autre,IDÉAL,1,123,0.008130081300813009
190,Autre,BIENVEILLANT,1,123,0.008130081300813009
191,Autre,UN PRO,1,123,0.008130081300813009
192,Autre,MOI,1,123,0.008130081300813009
193,Autre,POPULR/DÉMOCRAT,1,123,0.008130081300813009
194,Autre,NOUS (CITOYENS),1,123,0.008130081300813009
195,Autre,CONNECTÉ,1,123,0.008130081300813009
196,Autre,ATTENTIF/VE,1,123,0.008130081300813009
197,Autre,INVESTI,1,123,0.008130081300813009
198,Autre,INDECISE,1,123,0.008130081300813009
199,Autre,HDJD,1,123,0.008130081300813009
200,Autre,HONNÊTE,22,123,0.17886178861788618
201,Autre,INTÈGRE,10,123,0.08130081300813008
202,Autre,SINCÈRE,3,123,0.024390243902439025
203,Autre,COMPÉTENT,2,123,0.016260162601626018
204,Autre,COURAGEUX,2,123,0.016260162601626018
205,Autre,EFFICACE,2,123,0.016260162601626018
206,Autre,SAGE,2,123,0.016260162601626018
207,Autre,NOUVEAU,2,123,0.016260162601626018
208,Autre,FRANC,2,123,0.016260162601626018
209,Autre,HONNÊTETÉ,2,123,0.016260162601626018
210,Autre,HUMAIN,2,123,0.016260162601626018
211,Autre,JUSTE,2,123,0.016260162601626018
212,Autre,COMPÉTENCE,2,123,0.016260162601626018
213,Autre,VISIONNAIRE,2,123,0.016260162601626018
214,Autre,DROITURE,1,123,0.008130081300813009
215,Autre,CRÉACTIF,1,123,0.008130081300813009
216,Autre,DÉTERMINÉ,1,123,0.008130081300813009
217,Autre,LIBÉRAL,1,123,0.008130081300813009
218,Autre,MENDÈS-FRANCE,1,123,0.008130081300813009
219,Autre,UN SAGE,1,123,0.008130081300813009
220,Autre,MONSIEUR POISON,1,123,0.008130081300813009
221,Autre,MÉLENCHON,1,123,0.008130081300813009
222,Autre,CONCERNÉ,1,123,0.008130081300813009
223,Autre,MORAL,1,123,0.008130081300813009
224,Autre,ACTIF ET FRANC,1,123,0.008130081300813009
225,Autre,CONSCIENT,1,123,0.008130081300813009
226,Autre,CLAIRVOYANT,1,123,0.008130081300813009
227,Autre,CULTIVÉ,1,123,0.008130081300813009
228,Autre,ANARCHISTE,1,123,0.008130081300813009
229,Autre,VACI! MACRON!!,1,123,0.008130081300813009
230,Autre,CINGLANT,1,123,0.008130081300813009
231,Autre,INTEGRE HONNETE,1,123,0.008130081300813009
232,Autre,DÉCIDÉ,1,123,0.008130081300813009
233,Autre,ÉQUITABLE,1,123,0.008130081300813009
234,Autre,JEUNE,1,123,0.008130081300813009
235,Autre,MACRON,1,123,0.008130081300813009
236,Autre,CITOYEN,1,123,0.008130081300813009
237,Autre,PATRIOTE,1,123,0.008130081300813009
238,Autre,UNE FEMME,1,123,0.008130081300813009
239,Autre,IDÉAL,1,123,0.008130081300813009
240,Autre,BIENVEILLANT,1,123,0.008130081300813009
241,Autre,UN PRO,1,123,0.008130081300813009
242,Autre,MOI,1,123,0.008130081300813009
243,Autre,POPULR/DÉMOCRAT,1,123,0.008130081300813009
244,Autre,NOUS (CITOYENS),1,123,0.008130081300813009
245,Autre,CONNECTÉ,1,123,0.008130081300813009
246,Autre,ATTENTIF/VE,1,123,0.008130081300813009
247,Autre,INVESTI,1,123,0.008130081300813009
248,Autre,INDECISE,1,123,0.008130081300813009
249,Autre,HDJD,1,123,0.008130081300813009
