,sexe,answer,count,total,value
0,Un homme,HONNÊTE,4135,22249,0.18585104948537012
1,Un homme,INTÈGRE,1134,22249,0.05096858285765652
2,Un homme,HONNÊTETÉ,603,22249,0.027102341678277676
3,Un homme,HUMAIN,598,22249,0.026877612476965258
4,Un homme,JUSTE,584,22249,0.026248370713290486
5,Un homme,SINCÈRE,463,22249,0.020809924041529957
6,Un homme,HUMANISTE,423,22249,0.01901209043103061
7,Un homme,EFFICACE,384,22249,0.017259202660793744
8,Un homme,RÉALISTE,366,22249,0.016450177536069036
9,Un homme,COMPÉTENT,352,22249,0.015820935772394264
10,Un homme,COURAGEUX,350,22249,0.015731044091869296
11,Un homme,À L'ÉCOUTE,334,22249,0.015011910647669558
12,Un homme,VISIONNAIRE,324,22249,0.01456245224504472
13,Un homme,RESPONSABLE,267,22249,0.01200053935008315
14,Un homme,PRAGMATIQUE,262,22249,0.011775810148770731
15,Un homme,ALTRUISTE,235,22249,0.010562272461683671
16,Un homme,INDÉPENDANT,180,22249,0.008090251247247068
17,Un homme,INCORRUPTIBLE,173,22249,0.007775630365409681
18,Un homme,LE PEN,149,22249,0.006696930199110072
19,Un homme,CITOYEN,147,22249,0.0066070385185851045
20,Un homme,FRANC,139,22249,0.0062474717964852355
21,Un homme,INTÉGRITÉ,131,22249,0.005887905074385366
22,Un homme,DÉSINTÉRESSÉ,124,22249,0.00557328419254798
23,Un homme,VRAI,124,22249,0.00557328419254798
24,Un homme,LOYAL,124,22249,0.00557328419254798
25,Un homme,INTELLIGENT,119,22249,0.005348554991235561
26,Un homme,HUMBLE,119,22249,0.005348554991235561
27,Un homme,MÉLENCHON,109,22249,0.004899096588610724
28,Un homme,PATRIOTE,108,22249,0.004854150748348241
29,Un homme,OUVERT,98,22249,0.004404692345723403
30,Un homme,DROIT,97,22249,0.00435974650546092
31,Un homme,FIABLE,96,22249,0.004314800665198436
32,Un homme,CONCRET,93,22249,0.004179963144410985
33,Un homme,BIENVEILLANT,91,22249,0.004090071463886017
34,Un homme,ATTENTIF,87,22249,0.003910288102836082
35,Un homme,ENGAGÉ,87,22249,0.003910288102836082
36,Un homme,RASSEMBLEUR,85,22249,0.003820396422311115
37,Un homme,ÉCOLOGISTE,80,22249,0.0035956672209986966
38,Un homme,TRANSPARENT,76,22249,0.0034158838599487617
39,Un homme,UNE FEMME,73,22249,0.0032810463391613107
40,Un homme,JEUNE,71,22249,0.0031911546586363432
41,Un homme,EXEMPLAIRE,70,22249,0.0031462088183738593
42,Un homme,IRRÉPROCHABLE,70,22249,0.0031462088183738593
43,Un homme,DÉMOCRATE,68,22249,0.0030563171378488923
44,Un homme,SINCÉRITÉ,67,22249,0.0030113712975864083
45,Un homme,LIBRE,67,22249,0.0030113712975864083
46,Un homme,INNOVANT,66,22249,0.002966425457323925
47,Un homme,NOUVEAU,65,22249,0.002921479617061441
48,Un homme,RÉVOLUTIONNAIRE,62,22249,0.00278664209627399
49,Un homme,SAGE,62,22249,0.00278664209627399
50,Une femme,HONNÊTE,3456,18941,0.1824613272794467
51,Une femme,INTÈGRE,1013,18941,0.05348186473787023
52,Une femme,JUSTE,626,18941,0.033049997360223855
53,Une femme,HUMAIN,554,18941,0.029248719708568714
54,Une femme,HONNÊTETÉ,454,18941,0.02396916741460324
55,Une femme,HUMANISTE,408,18941,0.021540573359379124
56,Une femme,SINCÈRE,380,18941,0.020062298717068792
57,Une femme,RÉALISTE,345,18941,0.018214455414180878
58,Une femme,COURAGEUX,306,18941,0.016155430019534345
59,Une femme,À L'ÉCOUTE,299,18941,0.015785861358956762
60,Une femme,EFFICACE,290,18941,0.015310701652499868
61,Une femme,COMPÉTENT,275,18941,0.014518768808405047
62,Une femme,VISIONNAIRE,259,18941,0.013674040441370572
63,Une femme,ALTRUISTE,226,18941,0.011931788184361965
64,Une femme,RESPONSABLE,222,18941,0.011720606092603347
65,Une femme,PRAGMATIQUE,196,18941,0.010347922496172324
66,Une femme,INCORRUPTIBLE,141,18941,0.007444168734491315
67,Une femme,INDÉPENDANT,133,18941,0.0070218045509740775
68,Une femme,INTÉGRITÉ,131,18941,0.006916213505094768
69,Une femme,CITOYEN,118,18941,0.006229871706879257
70,Une femme,LE PEN,118,18941,0.006229871706879257
71,Une femme,ENGAGÉ,110,18941,0.005807507523362019
72,Une femme,FIABLE,110,18941,0.005807507523362019
73,Une femme,LOYAL,107,18941,0.0056491209545430545
74,Une femme,INTELLIGENT,107,18941,0.0056491209545430545
75,Une femme,FRANC,106,18941,0.0055963254316034
76,Une femme,VRAI,102,18941,0.005385143339844781
77,Une femme,DÉSINTÉRESSÉ,98,18941,0.005173961248086162
78,Une femme,HUMBLE,94,18941,0.004962779156327543
79,Une femme,OUVERT,90,18941,0.004751597064568925
80,Une femme,DROIT,90,18941,0.004751597064568925
81,Une femme,MÉLENCHON,84,18941,0.004434823926930996
82,Une femme,ATTENTIF,83,18941,0.004382028403991342
83,Une femme,UNE FEMME,80,18941,0.004223641835172378
84,Une femme,RESPECTUEUX,80,18941,0.004223641835172378
85,Une femme,BIENVEILLANT,79,18941,0.004170846312232723
86,Une femme,ÉCOLOGISTE,79,18941,0.004170846312232723
87,Une femme,PATRIOTE,76,18941,0.004012459743413759
88,Une femme,TRANSPARENT,75,18941,0.003959664220474104
89,Une femme,EMPATHIQUE,67,18941,0.003537300036956866
90,Une femme,RASSEMBLEUR,64,18941,0.003378913468137902
91,Une femme,EXEMPLAIRE,63,18941,0.0033261179451982473
92,Une femme,IRRÉPROCHABLE,61,18941,0.003220526899318938
93,Une femme,INNOVANT,56,18941,0.002956549284620664
94,Une femme,SOCIAL,53,18941,0.0027981627158017
95,Une femme,JEUNE,53,18941,0.0027981627158017
96,Une femme,COURAGE,52,18941,0.002745367192862045
97,Une femme,SAGE,52,18941,0.002745367192862045
98,Une femme,DÉTERMINÉ,51,18941,0.0026925716699223905
99,Une femme,NOUVEAU,49,18941,0.002586980624043081
100,Je préfère ne pas répondre,HONNÊTE,175,906,0.19315673289183222
101,Je préfère ne pas répondre,INTÈGRE,49,906,0.05408388520971302
102,Je préfère ne pas répondre,JUSTE,31,906,0.03421633554083885
103,Je préfère ne pas répondre,HUMAIN,26,906,0.02869757174392936
104,Je préfère ne pas répondre,SINCÈRE,23,906,0.025386313465783666
105,Je préfère ne pas répondre,COMPÉTENT,17,906,0.018763796909492272
106,Je préfère ne pas répondre,À L'ÉCOUTE,17,906,0.018763796909492272
107,Je préfère ne pas répondre,HUMANISTE,15,906,0.016556291390728478
108,Je préfère ne pas répondre,HONNÊTETÉ,14,906,0.01545253863134658
109,Je préfère ne pas répondre,PRAGMATIQUE,13,906,0.01434878587196468
110,Je préfère ne pas répondre,EFFICACE,11,906,0.012141280353200883
111,Je préfère ne pas répondre,RÉALISTE,10,906,0.011037527593818985
112,Je préfère ne pas répondre,ENGAGÉ,10,906,0.011037527593818985
113,Je préfère ne pas répondre,INDÉPENDANT,9,906,0.009933774834437087
114,Je préfère ne pas répondre,VISIONNAIRE,9,906,0.009933774834437087
