,sexe,answer,count,total,value
0,Autre,Non pas complètement,45,125,0.36
1,Autre,Non pas du tout,58,125,0.464
2,Autre,Oui complètement,4,125,0.032
3,Autre,Oui plutôt,18,125,0.144
4,Je préfère ne pas répondre,Non pas complètement,380,918,0.41394335512
5,Je préfère ne pas répondre,Non pas du tout,455,918,0.495642701525
6,Je préfère ne pas répondre,Oui complètement,9,918,0.00980392156863
7,Je préfère ne pas répondre,Oui plutôt,74,918,0.0806100217865
8,Un homme,Non pas complètement,10022,22659,0.442296659164
9,Un homme,Non pas du tout,10218,22659,0.450946643718
10,Un homme,Oui complètement,331,22659,0.0146078820778
11,Un homme,Oui plutôt,2088,22659,0.0921488150404
12,Une femme,Non pas complètement,8964,19256,0.465517241379
13,Une femme,Non pas du tout,8560,19256,0.444536767761
14,Une femme,Oui complètement,165,19256,0.00856875778978
15,Une femme,Oui plutôt,1567,19256,0.0813772330702
