,age,answer,count,total,value
0,16- 20,Consulter les citoyens pour construire son programme,2209,3031,0.728802375454
1,16- 20,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,822,3031,0.271197624546
2,21-25,Consulter les citoyens pour construire son programme,2423,3102,0.78110896196
3,21-25,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,679,3102,0.21889103804
4,26-30,Consulter les citoyens pour construire son programme,2082,2730,0.762637362637
5,26-30,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,648,2730,0.237362637363
6,31-35,Consulter les citoyens pour construire son programme,2259,2999,0.753251083695
7,31-35,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,740,2999,0.246748916305
8,36-40,Consulter les citoyens pour construire son programme,2268,3123,0.726224783862
9,36-40,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,855,3123,0.273775216138
10,41-45,Consulter les citoyens pour construire son programme,2485,3402,0.730452674897
11,41-45,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,917,3402,0.269547325103
12,46-50,Consulter les citoyens pour construire son programme,2711,3679,0.736885023104
13,46-50,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,968,3679,0.263114976896
14,51-55,Consulter les citoyens pour construire son programme,3301,4545,0.726292629263
15,51-55,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1244,4545,0.273707370737
16,56-60,Consulter les citoyens pour construire son programme,3453,4806,0.71847690387
17,56-60,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1353,4806,0.28152309613
18,61 -65,Consulter les citoyens pour construire son programme,3339,4953,0.674136886735
19,61 -65,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1614,4953,0.325863113265
20,66-70,Consulter les citoyens pour construire son programme,2330,3784,0.615750528541
21,66-70,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1454,3784,0.384249471459
22,71-75,Consulter les citoyens pour construire son programme,995,1679,0.592614651578
23,71-75,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,684,1679,0.407385348422
24,76-80,Consulter les citoyens pour construire son programme,325,593,0.548060708263
25,76-80,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,268,593,0.451939291737
26,Je préfère ne pas répondre,Consulter les citoyens pour construire son programme,121,172,0.703488372093
27,Je préfère ne pas répondre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,51,172,0.296511627907
28,Plus de 80 ans,Consulter les citoyens pour construire son programme,176,361,0.487534626039
29,Plus de 80 ans,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,185,361,0.512465373961
