,tendance,answer,count,total,value
0,Autre tendance,un candidat nouveau dans le monde politique,5997,6503,0.922189758573
1,Autre tendance,un candidat qui a déjà une longue carrière politique derrière lui,506,6503,0.077810241427
2,Centre,un candidat nouveau dans le monde politique,1547,1886,0.820254506893
3,Centre,un candidat qui a déjà une longue carrière politique derrière lui,339,1886,0.179745493107
4,Centre-droite,un candidat nouveau dans le monde politique,1702,2433,0.699547883272
5,Centre-droite,un candidat qui a déjà une longue carrière politique derrière lui,731,2433,0.300452116728
6,Centre-gauche,un candidat nouveau dans le monde politique,2366,2869,0.82467758801
7,Centre-gauche,un candidat qui a déjà une longue carrière politique derrière lui,503,2869,0.17532241199
8,Droite,un candidat nouveau dans le monde politique,2425,3846,0.630525221009
9,Droite,un candidat qui a déjà une longue carrière politique derrière lui,1421,3846,0.369474778991
10,Extrême droite,un candidat nouveau dans le monde politique,1420,1914,0.741901776385
11,Extrême droite,un candidat qui a déjà une longue carrière politique derrière lui,494,1914,0.258098223615
12,Extrême gauche,un candidat nouveau dans le monde politique,2494,3035,0.821746293245
13,Extrême gauche,un candidat qui a déjà une longue carrière politique derrière lui,541,3035,0.178253706755
14,Gauche,un candidat nouveau dans le monde politique,6665,8254,0.807487278895
15,Gauche,un candidat qui a déjà une longue carrière politique derrière lui,1589,8254,0.192512721105
16,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,5395,6494,0.830766861719
17,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,1099,6494,0.169233138281
18,Écologiste,un candidat nouveau dans le monde politique,5274,5725,0.921222707424
19,Écologiste,un candidat qui a déjà une longue carrière politique derrière lui,451,5725,0.0787772925764
