,sexe,answer,count,total,value
0,Autre,Non pas complètement,41,125,0.328
1,Autre,Non pas du tout,70,125,0.56
2,Autre,Oui complètement,2,125,0.016
3,Autre,Oui plutôt,12,125,0.096
4,Je préfère ne pas répondre,Non pas complètement,324,918,0.352941176471
5,Je préfère ne pas répondre,Non pas du tout,499,918,0.543572984749
6,Je préfère ne pas répondre,Oui complètement,16,918,0.0174291938998
7,Je préfère ne pas répondre,Oui plutôt,79,918,0.0860566448802
8,Un homme,Non pas complètement,8975,22659,0.396089853921
9,Un homme,Non pas du tout,10927,22659,0.482236638863
10,Un homme,Oui complètement,563,22659,0.0248466393045
11,Un homme,Oui plutôt,2194,22659,0.0968268679112
12,Une femme,Non pas complètement,8211,19256,0.426412546739
13,Une femme,Non pas du tout,8745,19256,0.454144162858
14,Une femme,Oui complètement,403,19256,0.0209285417532
15,Une femme,Oui plutôt,1897,19256,0.0985147486498
