,age,answer,count,total,value
0,16- 20,un candidat nouveau dans le monde politique,2355,3031,0.776971296602
1,16- 20,un candidat qui a déjà une longue carrière politique derrière lui,676,3031,0.223028703398
2,21-25,un candidat nouveau dans le monde politique,2569,3102,0.828175370729
3,21-25,un candidat qui a déjà une longue carrière politique derrière lui,533,3102,0.171824629271
4,26-30,un candidat nouveau dans le monde politique,2349,2730,0.86043956044
5,26-30,un candidat qui a déjà une longue carrière politique derrière lui,381,2730,0.13956043956
6,31-35,un candidat nouveau dans le monde politique,2565,2999,0.855285095032
7,31-35,un candidat qui a déjà une longue carrière politique derrière lui,434,2999,0.144714904968
8,36-40,un candidat nouveau dans le monde politique,2660,3123,0.851745116875
9,36-40,un candidat qui a déjà une longue carrière politique derrière lui,463,3123,0.148254883125
10,41-45,un candidat nouveau dans le monde politique,2842,3402,0.835390946502
11,41-45,un candidat qui a déjà une longue carrière politique derrière lui,560,3402,0.164609053498
12,46-50,un candidat nouveau dans le monde politique,3099,3679,0.842348464257
13,46-50,un candidat qui a déjà une longue carrière politique derrière lui,580,3679,0.157651535743
14,51-55,un candidat nouveau dans le monde politique,3865,4545,0.850385038504
15,51-55,un candidat qui a déjà une longue carrière politique derrière lui,680,4545,0.149614961496
16,56-60,un candidat nouveau dans le monde politique,3987,4806,0.829588014981
17,56-60,un candidat qui a déjà une longue carrière politique derrière lui,819,4806,0.170411985019
18,61 -65,un candidat nouveau dans le monde politique,4021,4953,0.811831213406
19,61 -65,un candidat qui a déjà une longue carrière politique derrière lui,932,4953,0.188168786594
20,66-70,un candidat nouveau dans le monde politique,2957,3784,0.78144820296
21,66-70,un candidat qui a déjà une longue carrière politique derrière lui,827,3784,0.21855179704
22,71-75,un candidat nouveau dans le monde politique,1216,1679,0.724240619416
23,71-75,un candidat qui a déjà une longue carrière politique derrière lui,463,1679,0.275759380584
24,76-80,un candidat nouveau dans le monde politique,417,593,0.703204047218
25,76-80,un candidat qui a déjà une longue carrière politique derrière lui,176,593,0.296795952782
26,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,137,172,0.796511627907
27,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,35,172,0.203488372093
28,Plus de 80 ans,un candidat nouveau dans le monde politique,246,361,0.681440443213
29,Plus de 80 ans,un candidat qui a déjà une longue carrière politique derrière lui,115,361,0.318559556787
