,tendance,answer,count,total,value
0,Autre tendance,Non pas du tout,89,6503,0.013685991081
1,Autre tendance,Non pas vraiment,313,6503,0.0481316315547
2,Autre tendance,Oui plutôt,2251,6503,0.346147931724
3,Autre tendance,Oui tout à fait,3850,6503,0.59203444564
4,Centre,Non pas du tout,34,1886,0.0180275715801
5,Centre,Non pas vraiment,148,1886,0.0784729586426
6,Centre,Oui plutôt,884,1886,0.468716861082
7,Centre,Oui tout à fait,820,1886,0.434782608696
8,Centre-droite,Non pas du tout,46,2433,0.0189066995479
9,Centre-droite,Non pas vraiment,312,2433,0.12823674476
10,Centre-droite,Oui plutôt,1137,2433,0.467324290999
11,Centre-droite,Oui tout à fait,938,2433,0.385532264694
12,Centre-gauche,Non pas du tout,34,2869,0.0118508191007
13,Centre-gauche,Non pas vraiment,248,2869,0.0864412687348
14,Centre-gauche,Oui plutôt,1462,2869,0.509585221331
15,Centre-gauche,Oui tout à fait,1125,2869,0.392122690833
16,Droite,Non pas du tout,90,3846,0.0234009360374
17,Droite,Non pas vraiment,401,3846,0.104264170567
18,Droite,Oui plutôt,1700,3846,0.442017680707
19,Droite,Oui tout à fait,1655,3846,0.430317212689
20,Extrême droite,Non pas du tout,39,1914,0.0203761755486
21,Extrême droite,Non pas vraiment,105,1914,0.0548589341693
22,Extrême droite,Oui plutôt,597,1914,0.311912225705
23,Extrême droite,Oui tout à fait,1173,1914,0.612852664577
24,Extrême gauche,Non pas du tout,20,3035,0.00658978583196
25,Extrême gauche,Non pas vraiment,125,3035,0.0411861614498
26,Extrême gauche,Oui plutôt,1195,3035,0.39373970346
27,Extrême gauche,Oui tout à fait,1695,3035,0.558484349259
28,Gauche,Non pas du tout,72,8254,0.00872304337291
29,Gauche,Non pas vraiment,515,8254,0.0623939907923
30,Gauche,Oui plutôt,3938,8254,0.477102011146
31,Gauche,Oui tout à fait,3729,8254,0.451780954689
32,Je préfère ne pas répondre,Non pas du tout,77,6494,0.0118570988605
33,Je préfère ne pas répondre,Non pas vraiment,308,6494,0.0474283954419
34,Je préfère ne pas répondre,Oui plutôt,2518,6494,0.387742531568
35,Je préfère ne pas répondre,Oui tout à fait,3591,6494,0.55297197413
36,Écologiste,Non pas du tout,20,5725,0.00349344978166
37,Écologiste,Non pas vraiment,186,5725,0.0324890829694
38,Écologiste,Oui plutôt,2184,5725,0.381484716157
39,Écologiste,Oui tout à fait,3335,5725,0.582532751092
