,age,answer,count,total,value
0,16- 20,Non pas du tout,116,3031,0.0382711976245
1,16- 20,Non pas vraiment,621,3031,0.204882876938
2,16- 20,Oui plutôt,1600,3031,0.527878587925
3,16- 20,Oui tout à fait,694,3031,0.228967337512
4,21-25,Non pas du tout,80,3102,0.0257898130239
5,21-25,Non pas vraiment,518,3102,0.166989039329
6,21-25,Oui plutôt,1721,3102,0.554803352676
7,21-25,Oui tout à fait,783,3102,0.252417794971
8,26-30,Non pas du tout,92,2730,0.0336996336996
9,26-30,Non pas vraiment,541,2730,0.198168498168
10,26-30,Oui plutôt,1395,2730,0.510989010989
11,26-30,Oui tout à fait,702,2730,0.257142857143
12,31-35,Non pas du tout,94,2999,0.0313437812604
13,31-35,Non pas vraiment,616,2999,0.2054018006
14,31-35,Oui plutôt,1493,2999,0.49783261087
15,31-35,Oui tout à fait,796,2999,0.265421807269
16,36-40,Non pas du tout,103,3123,0.0329811079091
17,36-40,Non pas vraiment,683,3123,0.21869996798
18,36-40,Oui plutôt,1605,3123,0.513928914505
19,36-40,Oui tout à fait,732,3123,0.234390009606
20,41-45,Non pas du tout,104,3402,0.0305702527925
21,41-45,Non pas vraiment,729,3402,0.214285714286
22,41-45,Oui plutôt,1761,3402,0.517636684303
23,41-45,Oui tout à fait,808,3402,0.237507348618
24,46-50,Non pas du tout,140,3679,0.0380538189725
25,46-50,Non pas vraiment,779,3679,0.211742321283
26,46-50,Oui plutôt,1877,3679,0.510192987225
27,46-50,Oui tout à fait,883,3679,0.24001087252
28,51-55,Non pas du tout,146,4545,0.0321232123212
29,51-55,Non pas vraiment,968,4545,0.21298129813
30,51-55,Oui plutôt,2370,4545,0.521452145215
31,51-55,Oui tout à fait,1061,4545,0.233443344334
32,56-60,Non pas du tout,190,4806,0.0395339159384
33,56-60,Non pas vraiment,1057,4806,0.219933416563
34,56-60,Oui plutôt,2463,4806,0.512484394507
35,56-60,Oui tout à fait,1096,4806,0.228048272992
36,61 -65,Non pas du tout,218,4953,0.0440137290531
37,61 -65,Non pas vraiment,1123,4953,0.226731273975
38,61 -65,Oui plutôt,2554,4953,0.515647082576
39,61 -65,Oui tout à fait,1058,4953,0.213607914395
40,66-70,Non pas du tout,154,3784,0.0406976744186
41,66-70,Non pas vraiment,916,3784,0.242071881607
42,66-70,Oui plutôt,1952,3784,0.515856236786
43,66-70,Oui tout à fait,762,3784,0.201374207188
44,71-75,Non pas du tout,79,1679,0.0470518165575
45,71-75,Non pas vraiment,447,1679,0.266229898749
46,71-75,Oui plutôt,832,1679,0.49553305539
47,71-75,Oui tout à fait,321,1679,0.191185229303
48,76-80,Non pas du tout,41,593,0.0691399662732
49,76-80,Non pas vraiment,163,593,0.274873524452
50,76-80,Oui plutôt,294,593,0.495784148398
51,76-80,Oui tout à fait,95,593,0.160202360877
52,Je préfère ne pas répondre,Non pas du tout,20,172,0.116279069767
53,Je préfère ne pas répondre,Non pas vraiment,32,172,0.186046511628
54,Je préfère ne pas répondre,Oui plutôt,90,172,0.523255813953
55,Je préfère ne pas répondre,Oui tout à fait,30,172,0.174418604651
56,Plus de 80 ans,Non pas du tout,19,361,0.0526315789474
57,Plus de 80 ans,Non pas vraiment,92,361,0.254847645429
58,Plus de 80 ans,Oui plutôt,191,361,0.529085872576
59,Plus de 80 ans,Oui tout à fait,59,361,0.163434903047
