,tendance,answer,count,total,value
0,Autre tendance,non,187,6503,0.0287559587883
1,Autre tendance,oui,6316,6503,0.971244041212
2,Centre,non,103,1886,0.0546129374337
3,Centre,oui,1783,1886,0.945387062566
4,Centre-droite,non,327,2433,0.134401972873
5,Centre-droite,oui,2106,2433,0.865598027127
6,Centre-gauche,non,222,2869,0.0773788776577
7,Centre-gauche,oui,2647,2869,0.922621122342
8,Droite,non,889,3846,0.23114924597
9,Droite,oui,2957,3846,0.76885075403
10,Extrême droite,non,399,1914,0.208463949843
11,Extrême droite,oui,1515,1914,0.791536050157
12,Extrême gauche,non,354,3035,0.116639209226
13,Extrême gauche,oui,2681,3035,0.883360790774
14,Gauche,non,1178,8254,0.142718681851
15,Gauche,oui,7076,8254,0.857281318149
16,Je préfère ne pas répondre,non,569,6494,0.0876193409301
17,Je préfère ne pas répondre,oui,5925,6494,0.91238065907
18,Écologiste,non,226,5725,0.0394759825328
19,Écologiste,oui,5499,5725,0.960524017467
