,sexe,answer,count,total,value
0,Autre,Non pas du tout,10,125,0.08
1,Autre,Non pas vraiment,8,125,0.064
2,Autre,Oui plutôt,38,125,0.304
3,Autre,Oui tout à fait,69,125,0.552
4,Je préfère ne pas répondre,Non pas du tout,47,918,0.0511982570806
5,Je préfère ne pas répondre,Non pas vraiment,97,918,0.105664488017
6,Je préfère ne pas répondre,Oui plutôt,340,918,0.37037037037
7,Je préfère ne pas répondre,Oui tout à fait,434,918,0.472766884532
8,Un homme,Non pas du tout,714,22659,0.0315106580167
9,Un homme,Non pas vraiment,2377,22659,0.104903129
10,Un homme,Oui plutôt,8920,22659,0.393662562337
11,Un homme,Oui tout à fait,10648,22659,0.469923650647
12,Une femme,Non pas du tout,230,19256,0.0119443290403
13,Une femme,Non pas vraiment,1369,19256,0.0710947237225
14,Une femme,Oui plutôt,6781,19256,0.352149979227
15,Une femme,Oui tout à fait,10876,19256,0.56481096801
