,answer,value
0,La défense des droits humains,0.0624301675978
1,La justice sociale,0.114338919926
2,La liberté de la presse et d’expression,0.0163407821229
3,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",0.0260707635009
4,La politique étrangère,0.0151536312849
5,La protection de l'environnement,0.156052141527
6,La religion,0.00470204841713
7,La santé,0.0247905027933
8,"La sécurité, le terrorisme",0.0242783985102
9,La transparence en politique,0.0905959031657
10,Le handicap,0.0218808193669
11,Le logement,0.0145484171322
12,Le vivre ensemble,0.0694134078212
13,Les droits des animaux,0.0763733705773
14,Les droits des femmes,0.0321461824953
15,Les droits des personnes LGBT,0.00877560521415
16,L’accueil des migrants,0.0120577281192
17,L’emploi,0.0642458100559
18,L’économie,0.0504888268156
19,L’éducation,0.115316573557
