,tendance,answer,count,total,value
0,Autre tendance,Le charisme,285,6503,0.0438259264955
1,Autre tendance,Le parti,34,6503,0.00522835614332
2,Autre tendance,Les propositions concrètes,6019,6503,0.925572812548
3,Autre tendance,L’expérience,165,6503,0.0253729048132
4,Centre,Le charisme,102,1886,0.0540827147402
5,Centre,Le parti,2,1886,0.00106044538706
6,Centre,Les propositions concrètes,1669,1886,0.884941675504
7,Centre,L’expérience,113,1886,0.059915164369
8,Centre-droite,Le charisme,179,2433,0.0735717221537
9,Centre-droite,Le parti,4,2433,0.00164406083025
10,Centre-droite,Les propositions concrètes,2064,2433,0.848335388409
11,Centre-droite,L’expérience,186,2433,0.0764488286067
12,Centre-gauche,Le charisme,197,2869,0.0686650400837
13,Centre-gauche,Le parti,14,2869,0.00487974904148
14,Centre-gauche,Les propositions concrètes,2527,2869,0.880794701987
15,Centre-gauche,L’expérience,131,2869,0.0456605088881
16,Droite,Le charisme,297,3846,0.0772230889236
17,Droite,Le parti,54,3846,0.0140405616225
18,Droite,Les propositions concrètes,3068,3846,0.797711908476
19,Droite,L’expérience,427,3846,0.111024440978
20,Extrême droite,Le charisme,100,1914,0.0522466039707
21,Extrême droite,Le parti,112,1914,0.0585161964472
22,Extrême droite,Les propositions concrètes,1657,1914,0.865726227795
23,Extrême droite,L’expérience,45,1914,0.0235109717868
24,Extrême gauche,Le charisme,70,3035,0.0230642504119
25,Extrême gauche,Le parti,101,3035,0.0332784184514
26,Extrême gauche,Les propositions concrètes,2823,3035,0.930148270181
27,Extrême gauche,L’expérience,41,3035,0.0135090609555
28,Gauche,Le charisme,299,8254,0.0362248606736
29,Gauche,Le parti,172,8254,0.0208383813908
30,Gauche,Les propositions concrètes,7547,8254,0.914344560213
31,Gauche,L’expérience,236,8254,0.0285921977223
32,Je préfère ne pas répondre,Le charisme,262,6494,0.040344933785
33,Je préfère ne pas répondre,Le parti,57,6494,0.0087773329227
34,Je préfère ne pas répondre,Les propositions concrètes,5910,6494,0.910070834617
35,Je préfère ne pas répondre,L’expérience,265,6494,0.0408068986757
36,Écologiste,Le charisme,200,5725,0.0349344978166
37,Écologiste,Le parti,56,5725,0.00978165938865
38,Écologiste,Les propositions concrètes,5335,5725,0.931877729258
39,Écologiste,L’expérience,134,5725,0.0234061135371
