,answer,value
0,La défense des droits humains,0.0121275605214
1,La justice sociale,0.0123836126629
2,La liberté de la presse et d’expression,0.0230446927374
3,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",0.0680400372439
4,La politique étrangère,0.0516061452514
5,La protection de l'environnement,0.0115689013035
6,La religion,0.203142458101
7,La santé,0.00335195530726
8,"La sécurité, le terrorisme",0.152793296089
9,La transparence en politique,0.0469273743017
10,Le handicap,0.00519087523277
11,Le logement,0.006052141527
12,Le vivre ensemble,0.0283054003724
13,Les droits des animaux,0.0469739292365
14,Les droits des femmes,0.00844972067039
15,Les droits des personnes LGBT,0.0469739292365
16,L’accueil des migrants,0.173905959032
17,L’emploi,0.0180400372439
18,L’économie,0.0726024208566
19,L’éducation,0.00851955307263
