,sexe,answer,count,total,value
0,Autre,Non pas du tout,9,125,0.072
1,Autre,Non pas vraiment,7,125,0.056
2,Autre,Oui plutôt,39,125,0.312
3,Autre,Oui tout à fait,70,125,0.56
4,Je préfère ne pas répondre,Non pas du tout,25,918,0.0272331154684
5,Je préfère ne pas répondre,Non pas vraiment,61,918,0.0664488017429
6,Je préfère ne pas répondre,Oui plutôt,368,918,0.400871459695
7,Je préfère ne pas répondre,Oui tout à fait,464,918,0.505446623094
8,Un homme,Non pas du tout,384,22659,0.0169469085132
9,Un homme,Non pas vraiment,1779,22659,0.0785118495962
10,Un homme,Oui plutôt,9987,22659,0.440752019065
11,Un homme,Oui tout à fait,10509,22659,0.463789222825
12,Une femme,Non pas du tout,103,19256,0.00534898213544
13,Une femme,Non pas vraiment,814,19256,0.0422725384296
14,Une femme,Oui plutôt,7471,19256,0.387982966348
15,Une femme,Oui tout à fait,10868,19256,0.564395513087
