,revenu,answer,count,total,value
0,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,7107,8940,0.794966442953
1,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,1833,8940,0.205033557047
2,Jusqu'à 9 700 euros,un candidat nouveau dans le monde politique,4392,5274,0.832764505119
3,Jusqu'à 9 700 euros,un candidat qui a déjà une longue carrière politique derrière lui,882,5274,0.167235494881
4,au-delà de 152 108 euros,un candidat nouveau dans le monde politique,148,195,0.758974358974
5,au-delà de 152 108 euros,un candidat qui a déjà une longue carrière politique derrière lui,47,195,0.241025641026
6,de 26 791 à 71 826 euros,un candidat nouveau dans le monde politique,10112,12378,0.816933268703
7,de 26 791 à 71 826 euros,un candidat qui a déjà une longue carrière politique derrière lui,2266,12378,0.183066731297
8,de 71 826 à 152 108 euros,un candidat nouveau dans le monde politique,1089,1413,0.770700636943
9,de 71 826 à 152 108 euros,un candidat qui a déjà une longue carrière politique derrière lui,324,1413,0.229299363057
10,de 9 700 à 26 791 euros,un candidat nouveau dans le monde politique,12437,14759,0.842672267769
11,de 9 700 à 26 791 euros,un candidat qui a déjà une longue carrière politique derrière lui,2322,14759,0.157327732231
