,sexe,answer,count,total,value
0,Autre,Non pas du tout,13,125,0.104
1,Autre,Non pas vraiment,9,125,0.072
2,Autre,Oui plutôt,26,125,0.208
3,Autre,Oui tout à fait,77,125,0.616
4,Je préfère ne pas répondre,Non pas du tout,32,918,0.0348583877996
5,Je préfère ne pas répondre,Non pas vraiment,74,918,0.0806100217865
6,Je préfère ne pas répondre,Oui plutôt,363,918,0.395424836601
7,Je préfère ne pas répondre,Oui tout à fait,449,918,0.489106753813
8,Un homme,Non pas du tout,415,22659,0.018315018315
9,Un homme,Non pas vraiment,1474,22659,0.065051414449
10,Un homme,Oui plutôt,8657,22659,0.382055695309
11,Un homme,Oui tout à fait,12113,22659,0.534577871927
12,Une femme,Non pas du tout,213,19256,0.0110614873286
13,Une femme,Non pas vraiment,1178,19256,0.0611757374325
14,Une femme,Oui plutôt,7163,19256,0.371987951807
15,Une femme,Oui tout à fait,10702,19256,0.555774823432
