,tendance,answer,count,total,value
0,Autre tendance,Non pas complètement,1888,6503,0.290327541135
1,Autre tendance,Non pas du tout,4190,6503,0.644318007074
2,Autre tendance,Oui complètement,115,6503,0.0176841457789
3,Autre tendance,Oui plutôt,310,6503,0.0476703060126
4,Centre,Non pas complètement,930,1886,0.493107104984
5,Centre,Non pas du tout,717,1886,0.380169671262
6,Centre,Oui complètement,38,1886,0.0201484623542
7,Centre,Oui plutôt,201,1886,0.1065747614
8,Centre-droite,Non pas complètement,1312,2433,0.539251952322
9,Centre-droite,Non pas du tout,631,2433,0.259350595972
10,Centre-droite,Oui complètement,59,2433,0.0242498972462
11,Centre-droite,Oui plutôt,431,2433,0.17714755446
12,Centre-gauche,Non pas complètement,1501,2869,0.523178807947
13,Centre-gauche,Non pas du tout,1029,2869,0.358661554549
14,Centre-gauche,Oui complètement,36,2869,0.0125479261067
15,Centre-gauche,Oui plutôt,303,2869,0.105611711398
16,Droite,Non pas complètement,1744,3846,0.453458138326
17,Droite,Non pas du tout,1199,3846,0.311752470099
18,Droite,Oui complètement,157,3846,0.0408216328653
19,Droite,Oui plutôt,746,3846,0.19396775871
20,Extrême droite,Non pas complètement,569,1914,0.297283176594
21,Extrême droite,Non pas du tout,1028,1914,0.537095088819
22,Extrême droite,Oui complètement,86,1914,0.0449320794148
23,Extrême droite,Oui plutôt,231,1914,0.120689655172
24,Extrême gauche,Non pas complètement,1027,3035,0.338385502471
25,Extrême gauche,Non pas du tout,1752,3035,0.57726523888
26,Extrême gauche,Oui complètement,63,3035,0.0207578253707
27,Extrême gauche,Oui plutôt,193,3035,0.0635914332784
28,Gauche,Non pas complètement,3589,8254,0.434819481464
29,Gauche,Non pas du tout,3709,8254,0.449357887085
30,Gauche,Oui complètement,179,8254,0.0216864550521
31,Gauche,Oui plutôt,777,8254,0.0941361763993
32,Je préfère ne pas répondre,Non pas complètement,2520,6494,0.388050508161
33,Je préfère ne pas répondre,Non pas du tout,3180,6494,0.489682784108
34,Je préfère ne pas répondre,Oui complètement,176,6494,0.0271019402525
35,Je préfère ne pas répondre,Oui plutôt,618,6494,0.0951647674777
36,Écologiste,Non pas complètement,2471,5725,0.431615720524
37,Écologiste,Non pas du tout,2807,5725,0.490305676856
38,Écologiste,Oui complètement,75,5725,0.0131004366812
39,Écologiste,Oui plutôt,372,5725,0.0649781659389
