,age,answer,count,total,value
0,16- 20,Non pas complètement,1626,3031,0.536456614979
1,16- 20,Non pas du tout,859,3031,0.283404816892
2,16- 20,Oui complètement,86,3031,0.028373474101
3,16- 20,Oui plutôt,460,3031,0.151765094028
4,21-25,Non pas complètement,1576,3102,0.50805931657
5,21-25,Non pas du tout,1150,3102,0.370728562218
6,21-25,Oui complètement,57,3102,0.0183752417795
7,21-25,Oui plutôt,319,3102,0.102836879433
8,26-30,Non pas complètement,1196,2730,0.438095238095
9,26-30,Non pas du tout,1274,2730,0.466666666667
10,26-30,Oui complètement,44,2730,0.0161172161172
11,26-30,Oui plutôt,216,2730,0.0791208791209
12,31-35,Non pas complètement,1249,2999,0.416472157386
13,31-35,Non pas du tout,1475,2999,0.491830610203
14,31-35,Oui complètement,49,2999,0.0163387795932
15,31-35,Oui plutôt,226,2999,0.0753584528176
16,36-40,Non pas complètement,1257,3123,0.402497598463
17,36-40,Non pas du tout,1550,3123,0.496317643292
18,36-40,Oui complètement,60,3123,0.0192122958694
19,36-40,Oui plutôt,256,3123,0.0819724623759
20,41-45,Non pas complètement,1272,3402,0.373897707231
21,41-45,Non pas du tout,1750,3402,0.514403292181
22,41-45,Oui complètement,63,3402,0.0185185185185
23,41-45,Oui plutôt,317,3402,0.0931804820694
24,46-50,Non pas complètement,1357,3679,0.368850231041
25,46-50,Non pas du tout,1898,3679,0.515901060071
26,46-50,Oui complètement,97,3679,0.0263658602881
27,46-50,Oui plutôt,327,3679,0.0888828486002
28,51-55,Non pas complètement,1682,4545,0.370077007701
29,51-55,Non pas du tout,2345,4545,0.51595159516
30,51-55,Oui complètement,102,4545,0.0224422442244
31,51-55,Oui plutôt,416,4545,0.0915291529153
32,56-60,Non pas complètement,1717,4806,0.357261756138
33,56-60,Non pas du tout,2508,4806,0.521847690387
34,56-60,Oui complètement,122,4806,0.0253849354973
35,56-60,Oui plutôt,459,4806,0.0955056179775
36,61 -65,Non pas complètement,1870,4953,0.377548960226
37,61 -65,Non pas du tout,2492,4953,0.503129416515
38,61 -65,Oui complètement,127,4953,0.025641025641
39,61 -65,Oui plutôt,464,4953,0.0936805976176
40,66-70,Non pas complètement,1558,3784,0.411733615222
41,66-70,Non pas du tout,1752,3784,0.463002114165
42,66-70,Oui complètement,98,3784,0.0258985200846
43,66-70,Oui plutôt,376,3784,0.0993657505285
44,71-75,Non pas complètement,712,1679,0.424061941632
45,71-75,Non pas du tout,732,1679,0.435973793925
46,71-75,Oui complètement,49,1679,0.0291840381179
47,71-75,Oui plutôt,186,1679,0.110780226325
48,76-80,Non pas complètement,254,593,0.428330522766
49,76-80,Non pas du tout,234,593,0.394603709949
50,76-80,Oui complètement,11,593,0.0185497470489
51,76-80,Oui plutôt,94,593,0.158516020236
52,Je préfère ne pas répondre,Non pas complètement,62,172,0.360465116279
53,Je préfère ne pas répondre,Non pas du tout,92,172,0.53488372093
54,Je préfère ne pas répondre,Oui complètement,5,172,0.0290697674419
55,Je préfère ne pas répondre,Oui plutôt,13,172,0.0755813953488
56,Plus de 80 ans,Non pas complètement,163,361,0.451523545706
57,Plus de 80 ans,Non pas du tout,131,361,0.362880886427
58,Plus de 80 ans,Oui complètement,14,361,0.0387811634349
59,Plus de 80 ans,Oui plutôt,53,361,0.146814404432
