,answer,value
0,La défense des droits humains,0.0107076350093
1,La justice sociale,0.015782122905
2,La liberté de la presse et d’expression,0.0130819366853
3,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",0.0746275605214
4,La politique étrangère,0.0695297951583
5,La protection de l'environnement,0.012895716946
6,La religion,0.159590316574
7,La santé,0.00258379888268
8,"La sécurité, le terrorisme",0.177374301676
9,La transparence en politique,0.0582635009311
10,Le handicap,0.00505121042831
11,Le logement,0.0072625698324
12,Le vivre ensemble,0.0429934823091
13,Les droits des animaux,0.0214618249534
14,Les droits des femmes,0.00740223463687
15,Les droits des personnes LGBT,0.0345670391061
16,L’accueil des migrants,0.14667132216
17,L’emploi,0.0264664804469
18,L’économie,0.103701117318
19,L’éducation,0.00998603351955
