,answer,value
0,""" un-trump """,2.32110113038e-05
1,"""""responsable""",2.32110113038e-05
2,"""couillu""",2.32110113038e-05
3,"""couillu""!!!!!",2.32110113038e-05
4,"""faiseur""",2.32110113038e-05
5,"""honnête""",2.32110113038e-05
6,"""humain""",4.64220226075e-05
7,"""humain""!!!!",2.32110113038e-05
8,"""intelligent""",2.32110113038e-05
9,"""ouvert""",2.32110113038e-05
10,"""populiste""",2.32110113038e-05
11,"""propre""",2.32110113038e-05
12,"""président""",2.32110113038e-05
13,"""rassembleur""",2.32110113038e-05
14,#jlm2017,2.32110113038e-05
15,*****,2.32110113038e-05
16,+courageux,2.32110113038e-05
17,+populiste,2.32110113038e-05
18,", courageux",4.64220226075e-05
19,", honnête",2.32110113038e-05
20,", intègre, ,",2.32110113038e-05
21,", éthique,",2.32110113038e-05
22,",patriote,",2.32110113038e-05
23,- de migrants,2.32110113038e-05
24,-de 60ans,2.32110113038e-05
25,-impôts,2.32110113038e-05
26,.....,2.32110113038e-05
27,......respect,2.32110113038e-05
28,.ferme,2.32110113038e-05
29,.honnète,2.32110113038e-05
30,0 chômeur,2.32110113038e-05
31,1 modèle,2.32110113038e-05
32,100%honnête,2.32110113038e-05
33,6 e republique,2.32110113038e-05
34,6 republique,2.32110113038e-05
35,60ans,2.32110113038e-05
36,6e république,2.32110113038e-05
37,6eme republique,2.32110113038e-05
38,6eme république,4.64220226075e-05
39,6ème,2.32110113038e-05
40,6ème republique,2.32110113038e-05
41,6ème république,6.96330339113e-05
42,6èmerépublique,2.32110113038e-05
43,6èrépublique,2.32110113038e-05
44,:barak obama,2.32110113038e-05
45,?????,4.64220226075e-05
46,??????,6.96330339113e-05
47,?????????,2.32110113038e-05
48,?????????????,2.32110113038e-05
49,??????????????,2.32110113038e-05
50,a  citoyens,2.32110113038e-05
51,a du chien,2.32110113038e-05
52,a gauche,4.64220226075e-05
53,a jour,2.32110113038e-05
54,a l 'ecoute,4.64220226075e-05
55,a l ecoute,0.000441009214771
56,a l écoute,0.00018568809043
57,a l' écoute,2.32110113038e-05
58,a l''ecoute,2.32110113038e-05
59,a l'ecoute,0.000998073486062
60,a l'écoute,0.00422440405728
