,tendance,answer,count,total,value
0,Écologiste,HONNÊTE,976,5653,0.1726516893684769
1,Écologiste,INTÈGRE,365,5653,0.06456748629046524
2,Écologiste,HUMAIN,243,5653,0.04298602511940563
3,Écologiste,HUMANISTE,191,5653,0.03378736953829825
4,Écologiste,JUSTE,150,5653,0.02653458340704051
5,Écologiste,SINCÈRE,135,5653,0.02388112506633646
6,Écologiste,ÉCOLOGISTE,120,5653,0.021227666725632408
7,Écologiste,VISIONNAIRE,114,5653,0.020166283389350788
8,Écologiste,HONNÊTETÉ,105,5653,0.01857420838492836
9,Écologiste,ALTRUISTE,102,5653,0.018043516716787545
10,Écologiste,À L'ÉCOUTE,89,5653,0.015743852821510702
11,Écologiste,COURAGEUX,81,5653,0.014328675039801874
12,Écologiste,RESPONSABLE,80,5653,0.014151777817088271
13,Écologiste,COMPÉTENT,66,5653,0.011675216699097823
14,Écologiste,INCORRUPTIBLE,62,5653,0.01096762780824341
15,Écologiste,RÉALISTE,59,5653,0.0104369361401026
16,Écologiste,ENGAGÉ,53,5653,0.00937555280382098
17,Écologiste,INDÉPENDANT,52,5653,0.009198655581107376
18,Écologiste,BIENVEILLANT,51,5653,0.009021758358393773
19,Écologiste,CITOYEN,48,5653,0.008491066690252963
20,Écologiste,HUMBLE,45,5653,0.007960375022112153
21,Écologiste,EFFICACE,43,5653,0.007606580576684946
22,Écologiste,PRAGMATIQUE,41,5653,0.007252786131257739
23,Écologiste,INTELLIGENT,41,5653,0.007252786131257739
24,Écologiste,OUVERT,39,5653,0.006898991685830532
25,Écologiste,UNE FEMME,35,5653,0.006191402794976119
26,Écologiste,DÉSINTÉRESSÉ,34,5653,0.006014505572262516
27,Écologiste,FIABLE,32,5653,0.0056607111268353084
28,Écologiste,INTÉGRITÉ,31,5653,0.005483813904121705
29,Écologiste,TRANSPARENT,30,5653,0.005306916681408102
30,Écologiste,VRAI,28,5653,0.004953122235980895
31,Écologiste,LOYAL,27,5653,0.004776225013267292
32,Écologiste,EMPATHIQUE,27,5653,0.004776225013267292
33,Écologiste,SAGE,27,5653,0.004776225013267292
34,Écologiste,RESPECTUEUX,25,5653,0.004422430567840085
35,Écologiste,CONSCIENT,23,5653,0.004068636122412878
36,Écologiste,ÉTHIQUE,22,5653,0.0038917388996992748
37,Écologiste,MÉLENCHON,20,5653,0.0035379444542720678
38,Écologiste,ATTENTIF,19,5653,0.0033610472315584645
39,Écologiste,INNOVANT,19,5653,0.0033610472315584645
40,Écologiste,FRANC,19,5653,0.0033610472315584645
41,Écologiste,SINCÉRITÉ,17,5653,0.003007252786131258
42,Écologiste,HULOT,17,5653,0.003007252786131258
43,Écologiste,INTEGRITÉ,17,5653,0.003007252786131258
44,Écologiste,JEUNE,17,5653,0.003007252786131258
45,Écologiste,CLAIRVOYANT,16,5653,0.0028303555634176542
46,Écologiste,LUCIDE,16,5653,0.0028303555634176542
47,Écologiste,TRANSPARENCE,16,5653,0.0028303555634176542
48,Écologiste,ÉQUITABLE,16,5653,0.0028303555634176542
49,Écologiste,DROIT,16,5653,0.0028303555634176542
50,Extrême gauche,HONNÊTE,488,2992,0.16310160427807488
51,Extrême gauche,INTÈGRE,163,2992,0.05447860962566845
52,Extrême gauche,HUMAIN,163,2992,0.05447860962566845
53,Extrême gauche,JUSTE,133,2992,0.04445187165775401
54,Extrême gauche,HUMANISTE,122,2992,0.04077540106951872
55,Extrême gauche,HONNÊTETÉ,67,2992,0.022393048128342245
56,Extrême gauche,SINCÈRE,64,2992,0.0213903743315508
57,Extrême gauche,MÉLENCHON,63,2992,0.021056149732620322
58,Extrême gauche,À L'ÉCOUTE,50,2992,0.016711229946524065
59,Extrême gauche,ALTRUISTE,42,2992,0.014037433155080214
60,Extrême gauche,CITOYEN,35,2992,0.011697860962566845
61,Extrême gauche,RÉVOLUTIONNAIRE,35,2992,0.011697860962566845
62,Extrême gauche,INCORRUPTIBLE,32,2992,0.0106951871657754
63,Extrême gauche,ANTICAPITALISTE,25,2992,0.008355614973262033
64,Extrême gauche,VISIONNAIRE,25,2992,0.008355614973262033
65,Extrême gauche,COURAGEUX,25,2992,0.008355614973262033
66,Extrême gauche,EFFICACE,24,2992,0.008021390374331552
67,Extrême gauche,COMPÉTENT,24,2992,0.008021390374331552
68,Extrême gauche,RESPONSABLE,23,2992,0.00768716577540107
69,Extrême gauche,SOCIAL,23,2992,0.00768716577540107
70,Extrême gauche,COMMUNISTE,23,2992,0.00768716577540107
71,Extrême gauche,INTÉGRITÉ,22,2992,0.007352941176470588
72,Extrême gauche,DÉMOCRATE,22,2992,0.007352941176470588
73,Extrême gauche,LOYAL,19,2992,0.006350267379679145
74,Extrême gauche,INDÉPENDANT,18,2992,0.006016042780748663
75,Extrême gauche,RÉALISTE,18,2992,0.006016042780748663
76,Extrême gauche,DÉSINTÉRESSÉ,18,2992,0.006016042780748663
77,Extrême gauche,BIENVEILLANT,17,2992,0.005681818181818182
78,Extrême gauche,ATTENTIF,16,2992,0.0053475935828877
79,Extrême gauche,EMPATHIQUE,16,2992,0.0053475935828877
80,Extrême gauche,COHÉRENT,15,2992,0.005013368983957219
81,Extrême gauche,INTELLIGENT,14,2992,0.004679144385026738
82,Extrême gauche,ENGAGÉ,14,2992,0.004679144385026738
83,Extrême gauche,OUVERT,13,2992,0.004344919786096257
84,Extrême gauche,ÉQUITABLE,13,2992,0.004344919786096257
85,Extrême gauche,RASSEMBLEUR,13,2992,0.004344919786096257
86,Extrême gauche,HUMBLE,13,2992,0.004344919786096257
87,Extrême gauche,FRANC,13,2992,0.004344919786096257
88,Extrême gauche,TRANSPARENT,13,2992,0.004344919786096257
89,Extrême gauche,CONCRET,13,2992,0.004344919786096257
90,Extrême gauche,PEUPLE,12,2992,0.004010695187165776
91,Extrême gauche,RESPECTUEUX,12,2992,0.004010695187165776
92,Extrême gauche,ÉTHIQUE,12,2992,0.004010695187165776
93,Extrême gauche,VRAI,11,2992,0.003676470588235294
94,Extrême gauche,IRRÉPROCHABLE,11,2992,0.003676470588235294
95,Extrême gauche,IDÉALISTE,11,2992,0.003676470588235294
96,Extrême gauche,LE PEUPLE,10,2992,0.0033422459893048127
97,Extrême gauche,TOLÉRANT,10,2992,0.0033422459893048127
98,Extrême gauche,HUMANITÉ,10,2992,0.0033422459893048127
99,Extrême gauche,INSOUMIS,9,2992,0.0030080213903743314
100,Gauche,HONNÊTE,1657,8122,0.20401378970696873
101,Gauche,INTÈGRE,445,8122,0.05478946072395961
102,Gauche,JUSTE,317,8122,0.039029795616843145
103,Gauche,HONNÊTETÉ,264,8122,0.03250430928342773
104,Gauche,HUMANISTE,255,8122,0.0313962078305836
105,Gauche,HUMAIN,245,8122,0.030164983994090126
106,Gauche,SINCÈRE,221,8122,0.027210046786505786
107,Gauche,À L'ÉCOUTE,137,8122,0.0168677665599606
108,Gauche,COMPÉTENT,112,8122,0.013789706968726915
109,Gauche,RÉALISTE,110,8122,0.01354346220142822
110,Gauche,EFFICACE,108,8122,0.013297217434129524
111,Gauche,ALTRUISTE,107,8122,0.013174095050480178
112,Gauche,VISIONNAIRE,105,8122,0.012927850283181483
113,Gauche,MÉLENCHON,89,8122,0.010957892144791924
114,Gauche,COURAGEUX,88,8122,0.010834769761142575
115,Gauche,RESPONSABLE,86,8122,0.01058852499384388
116,Gauche,PRAGMATIQUE,70,8122,0.008618566855454321
117,Gauche,INDÉPENDANT,63,8122,0.007756710169908889
118,Gauche,INTÉGRITÉ,63,8122,0.007756710169908889
119,Gauche,DÉSINTÉRESSÉ,52,8122,0.006402363949766067
120,Gauche,LOYAL,51,8122,0.00627924156611672
121,Gauche,FRANC,50,8122,0.006156119182467373
122,Gauche,SOCIAL,49,8122,0.006032996798818025
123,Gauche,FIABLE,49,8122,0.006032996798818025
124,Gauche,INCORRUPTIBLE,47,8122,0.005786752031519331
125,Gauche,ENGAGÉ,47,8122,0.005786752031519331
126,Gauche,OUVERT,46,8122,0.005663629647869982
127,Gauche,CITOYEN,44,8122,0.005417384880571288
128,Gauche,INTELLIGENT,43,8122,0.00529426249692194
129,Gauche,DROIT,42,8122,0.005171140113272593
130,Gauche,DÉMOCRATE,38,8122,0.004678650578675204
131,Gauche,RESPECTUEUX,35,8122,0.004309283427727161
132,Gauche,UNE FEMME,32,8122,0.003939916276779119
133,Gauche,ATTENTIF,32,8122,0.003939916276779119
134,Gauche,BIENVEILLANT,32,8122,0.003939916276779119
135,Gauche,RASSEMBLEUR,31,8122,0.003816793893129771
136,Gauche,EMPATHIQUE,30,8122,0.0036936715094804235
137,Gauche,VRAI,29,8122,0.003570549125831076
138,Gauche,CONCRET,26,8122,0.0032011819748830337
139,Gauche,INNOVANT,26,8122,0.0032011819748830337
140,Gauche,CRÉDIBLE,26,8122,0.0032011819748830337
141,Gauche,IRRÉPROCHABLE,26,8122,0.0032011819748830337
142,Gauche,EXEMPLAIRE,26,8122,0.0032011819748830337
143,Gauche,TRANSPARENT,25,8122,0.0030780595912336863
144,Gauche,PROGRESSISTE,24,8122,0.002954937207584339
145,Gauche,SINCÉRITÉ,24,8122,0.002954937207584339
146,Gauche,OBAMA,23,8122,0.002831814823934991
147,Gauche,PROBITÉ,23,8122,0.002831814823934991
148,Gauche,HUMBLE,23,8122,0.002831814823934991
149,Gauche,COURAGE,22,8122,0.002708692440285644
150,Centre-gauche,HONNÊTE,512,2842,0.18015482054890922
151,Centre-gauche,INTÈGRE,143,2842,0.05031667839549613
152,Centre-gauche,JUSTE,83,2842,0.02920478536242083
153,Centre-gauche,COMPÉTENT,73,2842,0.025686136523574946
154,Centre-gauche,VISIONNAIRE,68,2842,0.023926812104152005
155,Centre-gauche,EFFICACE,66,2842,0.02322308233638283
156,Centre-gauche,HONNÊTETÉ,66,2842,0.02322308233638283
157,Centre-gauche,PRAGMATIQUE,62,2842,0.021815622800844477
158,Centre-gauche,RÉALISTE,59,2842,0.02076002814919071
159,Centre-gauche,SINCÈRE,59,2842,0.02076002814919071
160,Centre-gauche,HUMAIN,58,2842,0.02040816326530612
161,Centre-gauche,HUMANISTE,54,2842,0.019000703729767768
162,Centre-gauche,COURAGEUX,51,2842,0.017945109078114006
163,Centre-gauche,À L'ÉCOUTE,40,2842,0.014074595355383532
164,Centre-gauche,RESPONSABLE,40,2842,0.014074595355383532
165,Centre-gauche,ALTRUISTE,31,2842,0.010907811400422239
166,Centre-gauche,RASSEMBLEUR,29,2842,0.01020408163265306
167,Centre-gauche,INTÉGRITÉ,23,2842,0.00809289232934553
168,Centre-gauche,INDÉPENDANT,22,2842,0.007741027445460943
169,Centre-gauche,OUVERT,21,2842,0.007389162561576354
170,Centre-gauche,INTELLIGENT,20,2842,0.007037297677691766
171,Centre-gauche,HUMBLE,20,2842,0.007037297677691766
172,Centre-gauche,FIABLE,18,2842,0.0063335679099225895
173,Centre-gauche,DÉSINTÉRESSÉ,17,2842,0.005981703026038001
174,Centre-gauche,FRANC,15,2842,0.005277973258268825
175,Centre-gauche,INCORRUPTIBLE,14,2842,0.0049261083743842365
176,Centre-gauche,LIBRE,14,2842,0.0049261083743842365
177,Centre-gauche,NOUVEAU,14,2842,0.0049261083743842365
178,Centre-gauche,EXEMPLAIRE,14,2842,0.0049261083743842365
179,Centre-gauche,COHÉRENT,13,2842,0.004574243490499648
