,tendance,answer,count,total,value
0,Autre tendance,Non pas du tout,174,6503,0.0267568814393
1,Autre tendance,Non pas vraiment,514,6503,0.0790404428725
2,Autre tendance,Oui plutôt,1993,6503,0.306473935107
3,Autre tendance,Oui tout à fait,3822,6503,0.587728740581
4,Centre,Non pas du tout,41,1886,0.0217391304348
5,Centre,Non pas vraiment,190,1886,0.100742311771
6,Centre,Oui plutôt,789,1886,0.418345705196
7,Centre,Oui tout à fait,866,1886,0.459172852598
8,Centre-droite,Non pas du tout,70,2433,0.0287710645294
9,Centre-droite,Non pas vraiment,283,2433,0.11631730374
10,Centre-droite,Oui plutôt,1110,2433,0.456226880395
11,Centre-droite,Oui tout à fait,970,2433,0.398684751336
12,Centre-gauche,Non pas du tout,63,2869,0.0219588706867
13,Centre-gauche,Non pas vraiment,354,2869,0.123387940049
14,Centre-gauche,Oui plutôt,1264,2869,0.440571627745
15,Centre-gauche,Oui tout à fait,1188,2869,0.41408156152
16,Droite,Non pas du tout,132,3846,0.0343213728549
17,Droite,Non pas vraiment,450,3846,0.117004680187
18,Droite,Oui plutôt,1564,3846,0.406656266251
19,Droite,Oui tout à fait,1700,3846,0.442017680707
20,Extrême droite,Non pas du tout,57,1914,0.0297805642633
21,Extrême droite,Non pas vraiment,130,1914,0.067920585162
22,Extrême droite,Oui plutôt,595,1914,0.310867293626
23,Extrême droite,Oui tout à fait,1132,1914,0.591431556949
24,Extrême gauche,Non pas du tout,68,3035,0.0224052718287
25,Extrême gauche,Non pas vraiment,245,3035,0.0807248764415
26,Extrême gauche,Oui plutôt,1101,3035,0.362767710049
27,Extrême gauche,Oui tout à fait,1621,3035,0.53410214168
28,Gauche,Non pas du tout,186,8254,0.0225345287134
29,Gauche,Non pas vraiment,767,8254,0.0929246425975
30,Gauche,Oui plutôt,3476,8254,0.421129149503
31,Gauche,Oui tout à fait,3825,8254,0.463411679186
32,Je préfère ne pas répondre,Non pas du tout,144,6494,0.0221743147521
33,Je préfère ne pas répondre,Non pas vraiment,509,6494,0.0783800431167
34,Je préfère ne pas répondre,Oui plutôt,2251,6494,0.346627656298
35,Je préfère ne pas répondre,Oui tout à fait,3590,6494,0.552817985833
36,Écologiste,Non pas du tout,66,5725,0.0115283842795
37,Écologiste,Non pas vraiment,410,5725,0.071615720524
38,Écologiste,Oui plutôt,1936,5725,0.338165938865
39,Écologiste,Oui tout à fait,3313,5725,0.578689956332
