,taille_commune,answer,count,total,value
0,20 000 à 100 000 habitants,non,886,8337,0.106273239774
1,20 000 à 100 000 habitants,oui,7451,8337,0.893726760226
2,2000 à 20 000 habitants,non,1517,14496,0.104649558499
3,2000 à 20 000 habitants,oui,12979,14496,0.895350441501
4,Je préfère ne pas répondre,non,257,1989,0.129210658622
5,Je préfère ne pas répondre,oui,1732,1989,0.870789341378
6,Moins de 2000 habitants,non,899,9396,0.0956790123457
7,Moins de 2000 habitants,oui,8497,9396,0.904320987654
8,Plus de 100 000 habitants,non,895,8741,0.102391030775
9,Plus de 100 000 habitants,oui,7846,8741,0.897608969225
