,sexe,answer,count,total,value
0,Autre,un candidat nouveau dans le monde politique,101,125,0.808
1,Autre,un candidat qui a déjà une longue carrière politique derrière lui,24,125,0.192
2,Je préfère ne pas répondre,un candidat nouveau dans le monde politique,786,918,0.856209150327
3,Je préfère ne pas répondre,un candidat qui a déjà une longue carrière politique derrière lui,132,918,0.143790849673
4,Un homme,un candidat nouveau dans le monde politique,18489,22659,0.815967165365
5,Un homme,un candidat qui a déjà une longue carrière politique derrière lui,4170,22659,0.184032834635
6,Une femme,un candidat nouveau dans le monde politique,15908,19256,0.826132114666
7,Une femme,un candidat qui a déjà une longue carrière politique derrière lui,3348,19256,0.173867885334
