,age,answer,count,total,value
0,16- 20,Non pas du tout,1324,3031,0.436819531508
1,16- 20,Non pas vraiment,1477,3031,0.487297921478
2,16- 20,Oui plutôt,187,3031,0.0616958099637
3,16- 20,Oui tout à fait,43,3031,0.0141867370505
4,21-25,Non pas du tout,1485,3102,0.478723404255
5,21-25,Non pas vraiment,1406,3102,0.453255963894
6,21-25,Oui plutôt,183,3102,0.0589941972921
7,21-25,Oui tout à fait,28,3102,0.00902643455835
8,26-30,Non pas du tout,1258,2730,0.460805860806
9,26-30,Non pas vraiment,1278,2730,0.468131868132
10,26-30,Oui plutôt,172,2730,0.0630036630037
11,26-30,Oui tout à fait,22,2730,0.00805860805861
12,31-35,Non pas du tout,1386,2999,0.46215405135
13,31-35,Non pas vraiment,1425,2999,0.475158386129
14,31-35,Oui plutôt,158,2999,0.052684228076
15,31-35,Oui tout à fait,30,2999,0.0100033344448
16,36-40,Non pas du tout,1394,3123,0.446365674031
17,36-40,Non pas vraiment,1513,3123,0.484470060839
18,36-40,Oui plutôt,177,3123,0.0566762728146
19,36-40,Oui tout à fait,39,3123,0.0124879923151
20,41-45,Non pas du tout,1457,3402,0.428277483833
21,41-45,Non pas vraiment,1757,3402,0.51646090535
22,41-45,Oui plutôt,160,3402,0.0470311581423
23,41-45,Oui tout à fait,28,3402,0.0082304526749
24,46-50,Non pas du tout,1638,3679,0.445229681979
25,46-50,Non pas vraiment,1800,3679,0.48926338679
26,46-50,Oui plutôt,199,3679,0.0540907855395
27,46-50,Oui tout à fait,42,3679,0.0114161456918
28,51-55,Non pas du tout,1930,4545,0.424642464246
29,51-55,Non pas vraiment,2293,4545,0.504510451045
30,51-55,Oui plutôt,274,4545,0.0602860286029
31,51-55,Oui tout à fait,48,4545,0.0105610561056
32,56-60,Non pas du tout,2054,4806,0.427382438618
33,56-60,Non pas vraiment,2442,4806,0.508114856429
34,56-60,Oui plutôt,248,4806,0.0516021639617
35,56-60,Oui tout à fait,62,4806,0.0129005409904
36,61 -65,Non pas du tout,2041,4953,0.412073490814
37,61 -65,Non pas vraiment,2602,4953,0.525338178881
38,61 -65,Oui plutôt,262,4953,0.0528972339996
39,61 -65,Oui tout à fait,48,4953,0.00969109630527
40,66-70,Non pas du tout,1496,3784,0.395348837209
41,66-70,Non pas vraiment,2041,3784,0.539376321353
42,66-70,Oui plutôt,212,3784,0.0560253699789
43,66-70,Oui tout à fait,35,3784,0.00924947145877
44,71-75,Non pas du tout,619,1679,0.368671828469
45,71-75,Non pas vraiment,945,1679,0.562835020846
46,71-75,Oui plutôt,106,1679,0.0631328171531
47,71-75,Oui tout à fait,9,1679,0.00536033353186
48,76-80,Non pas du tout,203,593,0.342327150084
49,76-80,Non pas vraiment,342,593,0.576728499157
50,76-80,Oui plutôt,44,593,0.0741989881956
51,76-80,Oui tout à fait,4,593,0.00674536256324
52,Je préfère ne pas répondre,Non pas du tout,71,172,0.412790697674
53,Je préfère ne pas répondre,Non pas vraiment,83,172,0.482558139535
54,Je préfère ne pas répondre,Oui plutôt,12,172,0.0697674418605
55,Je préfère ne pas répondre,Oui tout à fait,6,172,0.0348837209302
56,Plus de 80 ans,Non pas du tout,119,361,0.329639889197
57,Plus de 80 ans,Non pas vraiment,210,361,0.581717451524
58,Plus de 80 ans,Oui plutôt,28,361,0.0775623268698
59,Plus de 80 ans,Oui tout à fait,4,361,0.01108033241
