,age,answer,count,total,value
0,16- 20,Non pas du tout,93,3031,0.0306829429231
1,16- 20,Non pas vraiment,381,3031,0.12570108875
2,16- 20,Oui plutôt,970,3031,0.320026393929
3,16- 20,Oui tout à fait,1587,3031,0.523589574398
4,21-25,Non pas du tout,65,3102,0.0209542230819
5,21-25,Non pas vraiment,331,3102,0.106705351386
6,21-25,Oui plutôt,1094,3102,0.352675693101
7,21-25,Oui tout à fait,1612,3102,0.519664732431
8,26-30,Non pas du tout,65,2730,0.0238095238095
9,26-30,Non pas vraiment,257,2730,0.0941391941392
10,26-30,Oui plutôt,1000,2730,0.3663003663
11,26-30,Oui tout à fait,1408,2730,0.515750915751
12,31-35,Non pas du tout,60,2999,0.0200066688896
13,31-35,Non pas vraiment,250,2999,0.0833611203735
14,31-35,Oui plutôt,1027,2999,0.342447482494
15,31-35,Oui tout à fait,1662,2999,0.554184728243
16,36-40,Non pas du tout,61,3123,0.0195325008005
17,36-40,Non pas vraiment,243,3123,0.0778097982709
18,36-40,Oui plutôt,1108,3123,0.354787063721
19,36-40,Oui tout à fait,1711,3123,0.547870637208
20,41-45,Non pas du tout,71,3402,0.0208700764256
21,41-45,Non pas vraiment,245,3402,0.0720164609053
22,41-45,Oui plutôt,1326,3402,0.389770723104
23,41-45,Oui tout à fait,1760,3402,0.517342739565
24,46-50,Non pas du tout,78,3679,0.0212014134276
25,46-50,Non pas vraiment,279,3679,0.0758358249524
26,46-50,Oui plutôt,1401,3679,0.380810002718
27,46-50,Oui tout à fait,1921,3679,0.522152758902
28,51-55,Non pas du tout,105,4545,0.023102310231
29,51-55,Non pas vraiment,347,4545,0.0763476347635
30,51-55,Oui plutôt,1708,4545,0.375797579758
31,51-55,Oui tout à fait,2385,4545,0.524752475248
32,56-60,Non pas du tout,94,4806,0.0195588847274
33,56-60,Non pas vraiment,389,4806,0.0809404910529
34,56-60,Oui plutôt,1792,4806,0.372867249272
35,56-60,Oui tout à fait,2531,4806,0.526633374948
36,61 -65,Non pas du tout,117,4953,0.0236220472441
37,61 -65,Non pas vraiment,454,4953,0.0916616192207
38,61 -65,Oui plutôt,1919,4953,0.387441954371
39,61 -65,Oui tout à fait,2463,4953,0.497274379164
40,66-70,Non pas du tout,89,3784,0.0235200845666
41,66-70,Non pas vraiment,372,3784,0.0983086680761
42,66-70,Oui plutôt,1544,3784,0.408033826638
43,66-70,Oui tout à fait,1779,3784,0.470137420719
44,71-75,Non pas du tout,51,1679,0.0303752233472
45,71-75,Non pas vraiment,176,1679,0.104824300179
46,71-75,Oui plutôt,710,1679,0.422870756403
47,71-75,Oui tout à fait,742,1679,0.441929720071
48,76-80,Non pas du tout,24,593,0.0404721753794
49,76-80,Non pas vraiment,70,593,0.118043844857
50,76-80,Oui plutôt,269,593,0.453625632378
51,76-80,Oui tout à fait,230,593,0.387858347386
52,Je préfère ne pas répondre,Non pas du tout,12,172,0.0697674418605
53,Je préfère ne pas répondre,Non pas vraiment,15,172,0.0872093023256
54,Je préfère ne pas répondre,Oui plutôt,56,172,0.325581395349
55,Je préfère ne pas répondre,Oui tout à fait,89,172,0.517441860465
56,Plus de 80 ans,Non pas du tout,16,361,0.0443213296399
57,Plus de 80 ans,Non pas vraiment,43,361,0.119113573407
58,Plus de 80 ans,Oui plutôt,155,361,0.429362880886
59,Plus de 80 ans,Oui tout à fait,147,361,0.407202216066
