,answer,value
0,La défense des droits humains,0.0893156424581
1,La justice sociale,0.147136871508
2,La liberté de la presse et d’expression,0.006052141527
3,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",0.0224162011173
4,La politique étrangère,0.0102653631285
5,La protection de l'environnement,0.109310986965
6,La religion,0.00442271880819
7,La santé,0.0102420856611
8,"La sécurité, le terrorisme",0.0511173184358
9,La transparence en politique,0.0706238361266
10,Le handicap,0.0058426443203
11,Le logement,0.00470204841713
12,Le vivre ensemble,0.0579376163873
13,Les droits des animaux,0.03552141527
14,Les droits des femmes,0.0136638733706
15,Les droits des personnes LGBT,0.00647113594041
16,L’accueil des migrants,0.0241852886406
17,L’emploi,0.125861266294
18,L’économie,0.118761638734
19,L’éducation,0.0861499068901
