,age,answer,count,total,value
0,16- 20,Non pas du tout,160,3031,0.0527878587925
1,16- 20,Non pas vraiment,615,3031,0.202903332234
2,16- 20,Oui plutôt,1152,3031,0.380072583306
3,16- 20,Oui tout à fait,1104,3031,0.364236225668
4,21-25,Non pas du tout,148,3102,0.0477111540941
5,21-25,Non pas vraiment,670,3102,0.215989684075
6,21-25,Oui plutôt,1240,3102,0.39974210187
7,21-25,Oui tout à fait,1044,3102,0.336557059961
8,26-30,Non pas du tout,126,2730,0.0461538461538
9,26-30,Non pas vraiment,604,2730,0.221245421245
10,26-30,Oui plutôt,1034,2730,0.378754578755
11,26-30,Oui tout à fait,966,2730,0.353846153846
12,31-35,Non pas du tout,144,2999,0.0480160053351
13,31-35,Non pas vraiment,630,2999,0.210070023341
14,31-35,Oui plutôt,1127,2999,0.375791930644
15,31-35,Oui tout à fait,1098,2999,0.36612204068
16,36-40,Non pas du tout,171,3123,0.0547550432277
17,36-40,Non pas vraiment,665,3123,0.212936279219
18,36-40,Oui plutôt,1222,3123,0.391290425873
19,36-40,Oui tout à fait,1065,3123,0.341018251681
20,41-45,Non pas du tout,195,3402,0.0573192239859
21,41-45,Non pas vraiment,762,3402,0.223985890653
22,41-45,Oui plutôt,1298,3402,0.381540270429
23,41-45,Oui tout à fait,1147,3402,0.337154614932
24,46-50,Non pas du tout,208,3679,0.0565371024735
25,46-50,Non pas vraiment,826,3679,0.224517531938
26,46-50,Oui plutôt,1371,3679,0.372655612938
27,46-50,Oui tout à fait,1274,3679,0.34628975265
28,51-55,Non pas du tout,271,4545,0.0596259625963
29,51-55,Non pas vraiment,1070,4545,0.235423542354
30,51-55,Oui plutôt,1668,4545,0.36699669967
31,51-55,Oui tout à fait,1536,4545,0.33795379538
32,56-60,Non pas du tout,341,4806,0.0709529754474
33,56-60,Non pas vraiment,1109,4806,0.230753225135
34,56-60,Oui plutôt,1727,4806,0.359342488556
35,56-60,Oui tout à fait,1629,4806,0.338951310861
36,61 -65,Non pas du tout,381,4953,0.0769230769231
37,61 -65,Non pas vraiment,1264,4953,0.255198869372
38,61 -65,Oui plutôt,1694,4953,0.34201494044
39,61 -65,Oui tout à fait,1614,4953,0.325863113265
40,66-70,Non pas du tout,359,3784,0.0948731501057
41,66-70,Non pas vraiment,1036,3784,0.27378435518
42,66-70,Oui plutôt,1230,3784,0.325052854123
43,66-70,Oui tout à fait,1159,3784,0.306289640592
44,71-75,Non pas du tout,178,1679,0.106015485408
45,71-75,Non pas vraiment,459,1679,0.273377010125
46,71-75,Oui plutôt,583,1679,0.347230494342
47,71-75,Oui tout à fait,459,1679,0.273377010125
48,76-80,Non pas du tout,67,593,0.112984822934
49,76-80,Non pas vraiment,169,593,0.284991568297
50,76-80,Oui plutôt,179,593,0.301854974705
51,76-80,Oui tout à fait,178,593,0.300168634064
52,Je préfère ne pas répondre,Non pas du tout,26,172,0.151162790698
53,Je préfère ne pas répondre,Non pas vraiment,41,172,0.238372093023
54,Je préfère ne pas répondre,Oui plutôt,50,172,0.290697674419
55,Je préfère ne pas répondre,Oui tout à fait,55,172,0.31976744186
56,Plus de 80 ans,Non pas du tout,47,361,0.130193905817
57,Plus de 80 ans,Non pas vraiment,94,361,0.260387811634
58,Plus de 80 ans,Oui plutôt,119,361,0.329639889197
59,Plus de 80 ans,Oui tout à fait,101,361,0.279778393352
