,age,answer,count,total,value
0,16- 20,Non pas complètement,1691,3031,0.557901682613
1,16- 20,Non pas du tout,813,3031,0.268228307489
2,16- 20,Oui complètement,64,3031,0.021115143517
3,16- 20,Oui plutôt,463,3031,0.152754866381
4,21-25,Non pas complètement,1692,3102,0.545454545455
5,21-25,Non pas du tout,1035,3102,0.333655705996
6,21-25,Oui complètement,37,3102,0.0119277885235
7,21-25,Oui plutôt,338,3102,0.108961960026
8,26-30,Non pas complètement,1329,2730,0.486813186813
9,26-30,Non pas du tout,1116,2730,0.408791208791
10,26-30,Oui complètement,22,2730,0.00805860805861
11,26-30,Oui plutôt,263,2730,0.096336996337
12,31-35,Non pas complètement,1396,2999,0.465488496165
13,31-35,Non pas du tout,1324,2999,0.441480493498
14,31-35,Oui complètement,33,2999,0.0110036678893
15,31-35,Oui plutôt,246,2999,0.0820273424475
16,36-40,Non pas complètement,1395,3123,0.446685878963
17,36-40,Non pas du tout,1419,3123,0.45437079731
18,36-40,Oui complètement,35,3123,0.0112071725905
19,36-40,Oui plutôt,274,3123,0.0877361511367
20,41-45,Non pas complètement,1450,3402,0.426219870664
21,41-45,Non pas du tout,1625,3402,0.477660199882
22,41-45,Oui complètement,32,3402,0.00940623162845
23,41-45,Oui plutôt,295,3402,0.0867136978248
24,46-50,Non pas complètement,1527,3679,0.415058439793
25,46-50,Non pas du tout,1827,3679,0.496602337592
26,46-50,Oui complètement,47,3679,0.0127752106551
27,46-50,Oui plutôt,278,3679,0.0755640119598
28,51-55,Non pas complètement,1843,4545,0.405500550055
29,51-55,Non pas du tout,2314,4545,0.509130913091
30,51-55,Oui complètement,49,4545,0.0107810781078
31,51-55,Oui plutôt,339,4545,0.0745874587459
32,56-60,Non pas complètement,1904,4806,0.396171452351
33,56-60,Non pas du tout,2491,4806,0.518310445277
34,56-60,Oui complètement,52,4806,0.0108198085726
35,56-60,Oui plutôt,359,4806,0.0746982937994
36,61 -65,Non pas complètement,2095,4953,0.422975974157
37,61 -65,Non pas du tout,2447,4953,0.494044013729
38,61 -65,Oui complètement,54,4953,0.0109024833434
39,61 -65,Oui plutôt,357,4953,0.0720775287704
40,66-70,Non pas complètement,1710,3784,0.451902748414
41,66-70,Non pas du tout,1747,3784,0.461680761099
42,66-70,Oui complètement,48,3784,0.0126849894292
43,66-70,Oui plutôt,279,3784,0.0737315010571
44,71-75,Non pas complètement,815,1679,0.485407980941
45,71-75,Non pas du tout,695,1679,0.413936867183
46,71-75,Oui complètement,20,1679,0.011911852293
47,71-75,Oui plutôt,149,1679,0.0887432995831
48,76-80,Non pas complètement,313,593,0.527824620573
49,76-80,Non pas du tout,221,593,0.372681281619
50,76-80,Oui complètement,7,593,0.0118043844857
51,76-80,Oui plutôt,52,593,0.0876897133221
52,Je préfère ne pas répondre,Non pas complètement,70,172,0.406976744186
53,Je préfère ne pas répondre,Non pas du tout,84,172,0.488372093023
54,Je préfère ne pas répondre,Oui complètement,2,172,0.0116279069767
55,Je préfère ne pas répondre,Oui plutôt,16,172,0.093023255814
56,Plus de 80 ans,Non pas complètement,181,361,0.501385041551
57,Plus de 80 ans,Non pas du tout,133,361,0.368421052632
58,Plus de 80 ans,Oui complètement,8,361,0.0221606648199
59,Plus de 80 ans,Oui plutôt,39,361,0.108033240997
