,sexe,answer,count,total,value
0,Autre,Non pas du tout,62,125,0.496
1,Autre,Non pas vraiment,54,125,0.432
2,Autre,Oui plutôt,6,125,0.048
3,Autre,Oui tout à fait,3,125,0.024
4,Je préfère ne pas répondre,Non pas du tout,447,918,0.486928104575
5,Je préfère ne pas répondre,Non pas vraiment,408,918,0.444444444444
6,Je préfère ne pas répondre,Oui plutôt,51,918,0.0555555555556
7,Je préfère ne pas répondre,Oui tout à fait,12,918,0.0130718954248
8,Un homme,Non pas du tout,10359,22659,0.457169336687
9,Un homme,Non pas vraiment,10776,22659,0.475572620151
10,Un homme,Oui plutôt,1264,22659,0.0557835738559
11,Un homme,Oui tout à fait,260,22659,0.0114744693058
12,Une femme,Non pas du tout,7607,19256,0.395045700042
13,Une femme,Non pas vraiment,10376,19256,0.538845035314
14,Une femme,Oui plutôt,1100,19256,0.0571250519319
15,Une femme,Oui tout à fait,173,19256,0.00898421271292
