,age,answer,count,total,value
0,16- 20,non,323,3031,0.106565489937
1,16- 20,oui,2708,3031,0.893434510063
2,21-25,non,204,3102,0.0657640232108
3,21-25,oui,2898,3102,0.934235976789
4,26-30,non,204,2730,0.0747252747253
5,26-30,oui,2526,2730,0.925274725275
6,31-35,non,186,2999,0.0620206735579
7,31-35,oui,2813,2999,0.937979326442
8,36-40,non,243,3123,0.0778097982709
9,36-40,oui,2880,3123,0.922190201729
10,41-45,non,254,3402,0.0746619635509
11,41-45,oui,3148,3402,0.925338036449
12,46-50,non,273,3679,0.0742049469965
13,46-50,oui,3406,3679,0.925795053004
14,51-55,non,403,4545,0.0886688668867
15,51-55,oui,4142,4545,0.911331133113
16,56-60,non,536,4806,0.111527257595
17,56-60,oui,4270,4806,0.888472742405
18,61 -65,non,658,4953,0.132848778518
19,61 -65,oui,4295,4953,0.867151221482
20,66-70,non,621,3784,0.16411205074
21,66-70,oui,3163,3784,0.83588794926
22,71-75,non,320,1679,0.190589636689
23,71-75,oui,1359,1679,0.809410363311
24,76-80,non,131,593,0.220910623946
25,76-80,oui,462,593,0.779089376054
26,Je préfère ne pas répondre,non,21,172,0.122093023256
27,Je préfère ne pas répondre,oui,151,172,0.877906976744
28,Plus de 80 ans,non,77,361,0.213296398892
29,Plus de 80 ans,oui,284,361,0.786703601108
