,tendance,answer,count,total,value
0,Autre tendance,Consulter les citoyens pour construire son programme,5281,6503,0.812086729202
1,Autre tendance,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1222,6503,0.187913270798
2,Centre,Consulter les citoyens pour construire son programme,1136,1886,0.602332979852
3,Centre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,750,1886,0.397667020148
4,Centre-droite,Consulter les citoyens pour construire son programme,1175,2433,0.482942868886
5,Centre-droite,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1258,2433,0.517057131114
6,Centre-gauche,Consulter les citoyens pour construire son programme,1740,2869,0.606483095155
7,Centre-gauche,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1129,2869,0.393516904845
8,Droite,Consulter les citoyens pour construire son programme,2024,3846,0.526261050442
9,Droite,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1822,3846,0.473738949558
10,Extrême droite,Consulter les citoyens pour construire son programme,1459,1914,0.762277951933
11,Extrême droite,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,455,1914,0.237722048067
12,Extrême gauche,Consulter les citoyens pour construire son programme,2384,3035,0.78550247117
13,Extrême gauche,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,651,3035,0.21449752883
14,Gauche,Consulter les citoyens pour construire son programme,5745,8254,0.69602616913
15,Gauche,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,2509,8254,0.30397383087
16,Je préfère ne pas répondre,Consulter les citoyens pour construire son programme,5053,6494,0.778102864182
17,Je préfère ne pas répondre,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1441,6494,0.221897135818
18,Écologiste,Consulter les citoyens pour construire son programme,4480,5725,0.782532751092
19,Écologiste,Proposer un programme clair et précis prédéfini par lui et son équipe / son parti,1245,5725,0.217467248908
