,answer,value
0,La défense des droits humains,0.132239292365
1,La justice sociale,0.124837057728
2,La liberté de la presse et d’expression,0.00856610800745
3,"La lutte contre le racisme, l’islamophobie, l’antisémitisme, la xénophobie",0.0242551210428
4,La politique étrangère,0.00488826815642
5,La protection de l'environnement,0.127932960894
6,La religion,0.00398044692737
7,La santé,0.0157588454376
8,"La sécurité, le terrorisme",0.0531191806331
9,La transparence en politique,0.0507681564246
10,Le handicap,0.0105446927374
11,Le logement,0.00458566108007
12,Le vivre ensemble,0.0614525139665
13,Les droits des animaux,0.0619413407821
14,Les droits des femmes,0.0203445065177
15,Les droits des personnes LGBT,0.00744878957169
16,L’accueil des migrants,0.0119413407821
17,L’emploi,0.106797020484
18,L’économie,0.0664804469274
19,L’éducation,0.102118249534
